product_id,sku_id,name,category,subcategory,brand,price_inr,rating,review_count,inventory_count,availability,is_active,catalog_status,color,material,room,style,unit,description,attributes_json,search_keywords,created_at
PRD42061,SAM01616,Venetian Hanger Fabric,Samples,Fabric Samples,DDHS,50,3.8,28,5,in_stock,TRUE,Current,Red,Engineered wood,Bedroom,Modern,NOS,Venetian Hanger Fabric is a modern fabric samples from DDHS. It is suitable for bedroom use and comes in red with engineered wood finish. Suitable for residential and hospitality interiors.,"{""color"": ""Red"", ""material"": ""Engineered wood"", ""room"": ""Bedroom"", ""style"": ""Modern"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",venetian hanger fabric samples fabric samples ddhs red engineered wood bedroom modern home decor furniture interiors,"February 17, 2024"
PRD59870,SAM08126,Chelsea Ice Booklet Blinds,Samples,Blind Samples,DDCF,50,4.7,46,3,low_stock,TRUE,Current,Brown,Engineered wood,Balcony,Luxury,NOS,Chelsea Ice Booklet Blinds is a luxury blind samples from DDCF. It is suitable for balcony use and comes in brown with engineered wood finish. Suitable for residential and hospitality interiors.,"{""color"": ""Brown"", ""material"": ""Engineered wood"", ""room"": ""Balcony"", ""style"": ""Luxury"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",chelsea ice booklet blinds samples blind samples ddcf brown engineered wood balcony luxury home decor furniture interiors,"January 10, 2026"
PRD59734,SAM07818,Boucle Sheers Wide Fabric,Samples,Fabric Samples,DDCF,50,3.9,11,0,out_of_stock,TRUE,Current,Black,Metal,Dining Room,Classic,NOS,Boucle Sheers Wide Fabric is a classic fabric samples from DDCF. It is suitable for dining room use and comes in black with metal finish. Suitable for residential and hospitality interiors.,"{""color"": ""Black"", ""material"": ""Metal"", ""room"": ""Dining Room"", ""style"": ""Classic"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",boucle sheers wide fabric samples fabric samples ddcf black metal dining room classic home decor furniture interiors,"August 29, 2025"
PRD59708,SAM07723,Ww Roxas Wall To Wall,Samples,Wall To Wall Carpets,FFG,50,4.2,2,3,low_stock,TRUE,Current,Maroon,Engineered wood,Bedroom,Traditional,NOS,Ww Roxas Wall To Wall is a traditional wall to wall carpets from FFG. It is suitable for bedroom use and comes in maroon with engineered wood finish. Suitable for residential and hospitality interiors.,"{""color"": ""Maroon"", ""material"": ""Engineered wood"", ""room"": ""Bedroom"", ""style"": ""Traditional"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",ww roxas wall to wall samples wall to wall carpets ffg maroon engineered wood bedroom traditional home decor furniture interiors,"July 30, 2025"
PRD19827,SAM00728,Gallery 1 Amazon Fabric,Samples,Fabric Samples,DDHS,50,4.4,3,8,in_stock,TRUE,Current,Black,Wood,Living Room,Classic,NOS,Gallery 1 Amazon Fabric is a classic fabric samples from DDHS. It is suitable for living room use and comes in black with wood finish. Suitable for residential and hospitality interiors.,"{""color"": ""Black"", ""material"": ""Wood"", ""room"": ""Living Room"", ""style"": ""Classic"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",gallery 1 amazon fabric samples fabric samples ddhs black wood living room classic home decor furniture interiors,"September 3, 2022"
PRD32629,SAM07965,Boxer Fabric,Samples,Fabric Samples,APS,50,3.8,4,1,low_stock,TRUE,Current,Charcoal,Metal,Office,Modern,NOS,Boxer Fabric is a modern fabric samples from APS. It is suitable for office use and comes in charcoal with metal finish. Suitable for residential and hospitality interiors.,"{""color"": ""Charcoal"", ""material"": ""Metal"", ""room"": ""Office"", ""style"": ""Modern"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",boxer fabric samples fabric samples aps charcoal metal office modern home decor furniture interiors,"October 30, 2025"
PRD55117,FWC218604,Myth,Fabric,Curtain Fabric,DDCF,50,3.9,38,8,in_stock,TRUE,Current,Red,Velvet,Office,Traditional,MTR,"Myth is a traditional curtain fabric from DDCF. It is suitable for office use and comes in red with velvet finish. Useful for curtains, upholstery, drapes, cushions, and soft furnishing projects.","{""color"": ""Red"", ""material"": ""Velvet"", ""room"": ""Office"", ""style"": ""Traditional"", ""unit"": ""MTR"", ""size"": ""54''"", ""series"": ""35""}",myth fabric curtain fabric ddcf red velvet office traditional curtain fabric upholstery cloth drape textile material,"August 26, 2025"
PRD57988,SAM07461,Canvas Plains 11 Fabric,Samples,Fabric Samples,DDHS,50,4,22,8,in_stock,TRUE,Current,Silver,Metal,Hotel Room,Rustic,NOS,Canvas Plains 11 Fabric is a rustic fabric samples from DDHS. It is suitable for hotel room use and comes in silver with metal finish. Suitable for residential and hospitality interiors.,"{""color"": ""Silver"", ""material"": ""Metal"", ""room"": ""Hotel Room"", ""style"": ""Rustic"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",canvas plains 11 fabric samples fabric samples ddhs silver metal hotel room rustic home decor furniture interiors,"March 31, 2025"
PRD33714,SAM07979,Ridges Fabric,Samples,Fabric Samples,APS,50,3.9,56,12,in_stock,TRUE,Current,Black,Wood,Dining Room,Traditional,NOS,Ridges Fabric is a traditional fabric samples from APS. It is suitable for dining room use and comes in black with wood finish. Suitable for residential and hospitality interiors.,"{""color"": ""Black"", ""material"": ""Wood"", ""room"": ""Dining Room"", ""style"": ""Traditional"", ""unit"": ""NOS"", ""size"": ""NA"", ""series"": ""NA""}",ridges fabric samples fabric samples aps black wood dining room traditional home decor furniture interiors,"October 30, 2025"
PRD43888,FWC244411,Omega,Fabric,Curtain Fabric,DDCF,50,3.9,154,1,low_stock,TRUE,Current,Silver,Linen blend,Balcony,Minimal,MTR,"Omega is a minimal curtain fabric from DDCF. It is suitable for balcony use and comes in silver with linen blend finish. Useful for curtains, upholstery, drapes, cushions, and soft furnishing projects.","{""color"": ""Silver"", ""material"": ""Linen blend"", ""room"": ""Balcony"", ""style"": ""Minimal"", ""unit"": ""MTR"", ""size"": ""54''"", ""series"": ""46""}",omega fabric curtain fabric ddcf silver linen blend balcony minimal curtain fabric upholstery cloth drape textile material,"September 16, 2025"
